+-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
| Module              | Partition | Slices*       | Slice Reg     | LUTs          | LUTRAM        | BRAM/FIFO | DSP48A1 | BUFG  | BUFIO | BUFR  | DCM   | PLL_ADV   | Full Hierarchical Name                |
+-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
| jt12/               |           | 0/558         | 0/810         | 0/1043        | 0/111         | 0/8       | 0/0     | 2/2   | 0/0   | 0/0   | 0/0   | 0/0       | jt12                                  |
| +u_clksync          |           | 6/11          | 6/11          | 3/4           | 0/1           | 0/0       | 0/0     | 0/0   | 0/0   | 0/0   | 0/0   | 0/0       | jt12/u_clksync                        |
| ++u_cpu2syn         |           | 2/2           | 2/2           | 1/1           | 1/1           | 0/0       | 0/0     | 0/0   | 0/0   | 0/0   | 0/0   | 0/0       | jt12/u_clksync/u_cpu2syn              |
| ++u_syn2cpu         |           | 3/3           | 3/3           | 0/0           | 0/0           | 0/0       | 0/0     | 0/0   | 0/0   | 0/0   | 0/0   | 0/0       | jt12/u_clksync/u_syn2cpu              |
| +u_syn              |           | 0/547         | 0/799         | 0/1039        | 0/110         | 0/8       | 0/0     | 0/0   | 0/0   | 0/0   | 0/0   | 0/0       | jt12/u_syn                            |
| ++u_acc             |           | 39/56         | 50/86         | 74/82         | 0/8           | 0/0       | 0/0     | 0/0   | 0/0   | 0/0   | 0/0   | 0/0       | jt12/u_syn/u_acc                      |
| +++u_acc            |           | 9/9           | 18/18         | 4/4           | 4/4           | 0/0       | 0/0     | 0/0   | 0/0   | 0/0   | 0/0   | 0/0       | jt12/u_syn/u_acc/u_acc                |
| +++u_buffer         |           | 8/8           | 18/18         | 4/4           | 4/4           | 0/0       | 0/0     | 0/0   | 0/0   | 0/0   | 0/0   | 0/0       | jt12/u_syn/u_acc/u_buffer             |
| ++u_eg              |           | 94/113        | 140/174       | 250/267       | 0/17          | 0/0       | 0/0     | 0/0   | 0/0   | 0/0   | 0/0   | 0/0       | jt12/u_syn/u_eg                       |
| +++u_aroffsh        |           | 1/1           | 1/1           | 0/0           | 0/0           | 0/0       | 0/0     | 0/0   | 0/0   | 0/0   | 0/0   | 0/0       | jt12/u_syn/u_eg/u_aroffsh             |
| +++u_cntsh          |           | 1/1           | 1/1           | 1/1           | 1/1           | 0/0       | 0/0     | 0/0   | 0/0   | 0/0   | 0/0   | 0/0       | jt12/u_syn/u_eg/u_cntsh               |
| +++u_egsh           |           | 8/8           | 20/20         | 10/10         | 10/10         | 0/0       | 0/0     | 0/0   | 0/0   | 0/0   | 0/0   | 0/0       | jt12/u_syn/u_eg/u_egsh                |
| +++u_konsh          |           | 1/1           | 1/1           | 1/1           | 1/1           | 0/0       | 0/0     | 0/0   | 0/0   | 0/0   | 0/0   | 0/0       | jt12/u_syn/u_eg/u_konsh               |
| +++u_ssg1sh         |           | 1/1           | 1/1           | 0/0           | 0/0           | 0/0       | 0/0     | 0/0   | 0/0   | 0/0   | 0/0   | 0/0       | jt12/u_syn/u_eg/u_ssg1sh              |
| +++u_ssg2sh         |           | 1/1           | 1/1           | 1/1           | 1/1           | 0/0       | 0/0     | 0/0   | 0/0   | 0/0   | 0/0   | 0/0       | jt12/u_syn/u_eg/u_ssg2sh              |
| +++u_ssgattsh       |           | 2/2           | 2/2           | 0/0           | 0/0           | 0/0       | 0/0     | 0/0   | 0/0   | 0/0   | 0/0   | 0/0       | jt12/u_syn/u_eg/u_ssgattsh            |
| +++u_ssgen          |           | 3/3           | 4/4           | 1/1           | 1/1           | 0/0       | 0/0     | 0/0   | 0/0   | 0/0   | 0/0   | 0/0       | jt12/u_syn/u_eg/u_ssgen               |
| +++u_statesh        |           | 1/1           | 3/3           | 3/3           | 3/3           | 0/0       | 0/0     | 0/0   | 0/0   | 0/0   | 0/0   | 0/0       | jt12/u_syn/u_eg/u_statesh             |
| ++u_lfo             |           | 9/9           | 14/14         | 18/18         | 0/0           | 0/0       | 0/0     | 0/0   | 0/0   | 0/0   | 0/0   | 0/0       | jt12/u_syn/u_lfo                      |
| ++u_mmr             |           | 52/149        | 126/207       | 73/216        | 0/19          | 0/2       | 0/0     | 0/0   | 0/0   | 0/0   | 0/0   | 0/0       | jt12/u_syn/u_mmr                      |
| +++u_reg            |           | 69/97         | 18/81         | 117/143       | 0/19          | 0/2       | 0/0     | 0/0   | 0/0   | 0/0   | 0/0   | 0/0       | jt12/u_syn/u_mmr/u_reg                |
